,Compound No.,Mol. Wgt.,Name,Additives,Temperature,CMC Value / M,SMILES_y
142,386,283.4,AMMONIUM DODECYL SULFATE,,25.0,0.00616,CCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCOS(=O)(=O)[O-]
143,387,297.5,METHYLAMMONIUM DODECYL SULFATE,,25.0,0.0057,CCCCCCCCCCCCOS(=O)(=O)[O-].[NH4+]
144,388,311.5,ETHYLAMMONIUM DODECYL SULFATE,,25.0,0.005,CCCCCCCCCCCCCOS(=O)(=O)[O-].[NH4+]
145,389,339.5,BUTYLAMMONIUM DODECYL SULFATE,,25.0,0.00292,CCCCCCCCCCCCCCOS(=O)(=O)O.N
146,390,367.6,HEXYLAMMONIUM DODECYL SULFATE,,25.0,0.00112,CCCC[N+](CCCC)(CCCC)CCCC.OS(=O)(=O)[O-]
147,391,395.7,OCTYLAMMONIUM DODECYL SULFATE,,25.0,0.00028,CCCCCCCCCCCC[N+](C)(C)CC.CCOS(=O)(=O)[O-]
148,392,165.7,OCTYLAMMONIUM CHLORIDE,,25.0,0.175,CCCCCCCCCCCCCCCC[N+](C)(C)C.COS(=O)(=O)[O-]
149,397,422.7,BUTYL HEXYL/OXYETHYLENE/6 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.00284,CC[N+](CC)(CC)CC.[Cl-]
150,399,278.0,DODECYL DIMETHYL ETHYLAMMONIUM CHLORIDE,,25.0,0.019,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO
151,416,314.1,PERFLUORO HEXANOIC ACID,,25.0,0.054,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-]
